             JOBID PARTITION     NAME     USER ST       TIME  NODES NODELIST(REASON)
          28123134     adhoc cromwell mquiroga  R   21:17:43      1 spartan-bm127
          28123085     adhoc cromwell mquiroga  R   21:20:44      1 spartan-bm126
          28123084     adhoc cromwell mquiroga  R   21:20:54      1 spartan-bm126
          28117461     adhoc cromwell mquiroga  R   23:36:08      1 spartan-bm126
          28136662 deeplearn coref-CR    byron PD       0:00      1 (Resources)
          28142112 deeplearn     bash liangche  R    1:16:00      1 spartan-gpgpu086
          28093533 deeplearn     bash    ailis  R 1-22:31:37      1 spartan-gpgpu079
          28121195 deeplearn    CR_SG hmohaghe  R   20:21:54      1 spartan-gpgpu082
          28126113 deeplearn  GM-W-PB hmohaghe  R   19:00:05      1 spartan-gpgpu080
          28121156 deeplearn    CR_SG hmohaghe  R   20:25:55      1 spartan-gpgpu081
          28111630 deeplearn        F hmohaghe  R 1-05:12:00      1 spartan-gpgpu079
          28121120 deeplearn    CR_SG hmohaghe  R   21:43:55      1 spartan-gpgpu073
          28121093 deeplearn    CR_SG hmohaghe  R   21:44:23      1 spartan-gpgpu072
          28120607 deeplearn    CR_SG hmohaghe  R   21:46:55      1 spartan-gpgpu072
          28128408 deeplearn spanbert fanjiang  R   13:44:59      1 spartan-gpgpu088
        28140576_9 deeplearn csbs_eva   dalinw  R      50:22      1 spartan-gpgpu072
          28142107 deeplearn spanbert fanjiang  R    1:17:00      1 spartan-gpgpu082
          28128399 deeplearn spanbert fanjiang  R   16:57:50      1 spartan-gpgpu086
          28136619 deeplearn coref-CR    byron  R    6:26:02      1 spartan-gpgpu087
          28140840 deeplearn    train zhuohanx  R    2:27:15      1 spartan-gpgpu081
          28140834 deeplearn    train zhuohanx  R    2:27:47      1 spartan-gpgpu081
          28140836 deeplearn    train zhuohanx  R    2:27:47      1 spartan-gpgpu081
          28140822 deeplearn    train zhuohanx  R    2:29:16      1 spartan-gpgpu080
          28140820 deeplearn    train zhuohanx  R    2:29:48      1 spartan-gpgpu080
          28140821 deeplearn    train zhuohanx  R    2:29:48      1 spartan-gpgpu080
          28140711 deeplearn    train zhuohanx  R    2:35:17      1 spartan-gpgpu079
          28141385     gpgpu metareg_     aore PD       0:00      1 (MaxGRESPerAccount)
          28141384     gpgpu metareg_     aore PD       0:00      1 (MaxGRESPerAccount)
          28141383     gpgpu metareg_     aore PD       0:00      1 (MaxGRESPerAccount)
          28141382     gpgpu metareg_     aore PD       0:00      1 (MaxGRESPerAccount)
          28141381     gpgpu metareg_     aore PD       0:00      1 (MaxGRESPerAccount)
          28141380     gpgpu metareg_     aore PD       0:00      1 (MaxGRESPerAccount)
          28141379     gpgpu metareg_     aore PD       0:00      1 (MaxGRESPerAccount)
          28141378     gpgpu metareg_     aore PD       0:00      1 (MaxGRESPerAccount)
          28141377     gpgpu metareg_     aore PD       0:00      1 (MaxGRESPerAccount)
          28141389     gpgpu metareg_     aore PD       0:00      1 (MaxGRESPerAccount)
          28141484     gpgpu metareg_     aore PD       0:00      1 (MaxGRESPerAccount)
          28141483     gpgpu metareg_     aore PD       0:00      1 (MaxGRESPerAccount)
          28141482     gpgpu metareg_     aore PD       0:00      1 (MaxGRESPerAccount)
          28141481     gpgpu metareg_     aore PD       0:00      1 (MaxGRESPerAccount)
          28141480     gpgpu metareg_     aore PD       0:00      1 (MaxGRESPerAccount)
          28141479     gpgpu metareg_     aore PD       0:00      1 (MaxGRESPerAccount)
          28141478     gpgpu metareg_     aore PD       0:00      1 (MaxGRESPerAccount)
          28141477     gpgpu metareg_     aore PD       0:00      1 (MaxGRESPerAccount)
          28141476     gpgpu metareg_     aore PD       0:00      1 (MaxGRESPerAccount)
          28141475     gpgpu metareg_     aore PD       0:00      1 (MaxGRESPerAccount)
          28141474     gpgpu metareg_     aore PD       0:00      1 (MaxGRESPerAccount)
          28141473     gpgpu metareg_     aore PD       0:00      1 (MaxGRESPerAccount)
          28141472     gpgpu metareg_     aore PD       0:00      1 (MaxGRESPerAccount)
          28141471     gpgpu metareg_     aore PD       0:00      1 (MaxGRESPerAccount)
          28141470     gpgpu metareg_     aore PD       0:00      1 (MaxGRESPerAccount)
          28141469     gpgpu metareg_     aore PD       0:00      1 (MaxGRESPerAccount)
          28141468     gpgpu metareg_     aore PD       0:00      1 (MaxGRESPerAccount)
          28141467     gpgpu metareg_     aore PD       0:00      1 (MaxGRESPerAccount)
          28141466     gpgpu metareg_     aore PD       0:00      1 (MaxGRESPerAccount)
          28141465     gpgpu metareg_     aore PD       0:00      1 (MaxGRESPerAccount)
          28141464     gpgpu metareg_     aore PD       0:00      1 (MaxGRESPerAccount)
          28141463     gpgpu metareg_     aore PD       0:00      1 (MaxGRESPerAccount)
          28141462     gpgpu metareg_     aore PD       0:00      1 (MaxGRESPerAccount)
          28141461     gpgpu metareg_     aore PD       0:00      1 (MaxGRESPerAccount)
          28141460     gpgpu metareg_     aore PD       0:00      1 (MaxGRESPerAccount)
          28141459     gpgpu metareg_     aore PD       0:00      1 (MaxGRESPerAccount)
          28141458     gpgpu metareg_     aore PD       0:00      1 (MaxGRESPerAccount)
          28141457     gpgpu metareg_     aore PD       0:00      1 (MaxGRESPerAccount)
          28141456     gpgpu metareg_     aore PD       0:00      1 (MaxGRESPerAccount)
          28141455     gpgpu metareg_     aore PD       0:00      1 (MaxGRESPerAccount)
          28141454     gpgpu metareg_     aore PD       0:00      1 (MaxGRESPerAccount)
          28141453     gpgpu metareg_     aore PD       0:00      1 (MaxGRESPerAccount)
          28141452     gpgpu metareg_     aore PD       0:00      1 (MaxGRESPerAccount)
          28141451     gpgpu metareg_     aore PD       0:00      1 (MaxGRESPerAccount)
          28141450     gpgpu metareg_     aore PD       0:00      1 (MaxGRESPerAccount)
          28141449     gpgpu metareg_     aore PD       0:00      1 (MaxGRESPerAccount)
          28141448     gpgpu metareg_     aore PD       0:00      1 (MaxGRESPerAccount)
          28141447     gpgpu metareg_     aore PD       0:00      1 (MaxGRESPerAccount)
          28141446     gpgpu metareg_     aore PD       0:00      1 (MaxGRESPerAccount)
          28141445     gpgpu metareg_     aore PD       0:00      1 (MaxGRESPerAccount)
          28141439     gpgpu metareg_     aore PD       0:00      1 (MaxGRESPerAccount)
          28141438     gpgpu metareg_     aore PD       0:00      1 (MaxGRESPerAccount)
          28141437     gpgpu metareg_     aore PD       0:00      1 (MaxGRESPerAccount)
          28141436     gpgpu metareg_     aore PD       0:00      1 (MaxGRESPerAccount)
          28141435     gpgpu metareg_     aore PD       0:00      1 (MaxGRESPerAccount)
          28141434     gpgpu metareg_     aore PD       0:00      1 (MaxGRESPerAccount)
          28141433     gpgpu metareg_     aore PD       0:00      1 (MaxGRESPerAccount)
          28141432     gpgpu metareg_     aore PD       0:00      1 (MaxGRESPerAccount)
          28141431     gpgpu metareg_     aore PD       0:00      1 (MaxGRESPerAccount)
          28141430     gpgpu metareg_     aore PD       0:00      1 (MaxGRESPerAccount)
          28141429     gpgpu metareg_     aore PD       0:00      1 (MaxGRESPerAccount)
          28141428     gpgpu metareg_     aore PD       0:00      1 (MaxGRESPerAccount)
